Text,Actual_Intents,Predicted_Intents,Confidence
Kom takay besi minit meyad besi din,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.688498017
Kom takay besi minuit,Prepaid Voice bundle Q,None,0.38928007
Minute offer din,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
Minit kivabe kinbo aktu bolle valo hoytu,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
Munute kine kivabe?,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
how to know minute bundle,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
minute bundle kivabe dekbo,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
how to check minute package,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
ভাই আমার লাকবে হল কম দামে বেশি মিনিট ***আর Smsলাগবে বেশি,Prepaid Voice bundle Q,None,0.657399509
minit kinar offer dakbo ki dia,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.788431362
Minute bundle kine kivabe Robi te,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
Minute Kinar code koto,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
Kotha bola jayna kn,Prepaid Voice bundle Q,None,0.657399509
Minute bundle kine kivabe Robi te,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
Minit kinbo kibaba,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.685117977
10 minit r 5 minit kena kibabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
"Thank you sms er jono, r kom takai minite kinbo kiba ba...?",Prepaid Voice bundle Q,prepaid_SMS_bundle_q,0.445843955
Minute Kinar upay,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
Minute kinbo kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.744341296
How to loking minit,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
Min kinbo kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.495234688
minit er offer,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.872251983
Minute pack kinar code ta den sob minutes pack dekhbo,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
104 Taka Rechare 170 Min.1 Lokho Takar Life Ensores Ki Dtls Info.Chai,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
রবিতে মিনিট কিনবো কি ভাবে,Prepaid Voice bundle Q,None,0.657399509
Minute bundle kine kivabe Robi te,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
minit offere 30 diner,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
5 menute neoar sms,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
রবি সিমে মিনিট বান্ডিল কেনার নম্বার ওচেক করার নম্বার,Prepaid Voice bundle Q,None,0.657399509
Minute kine kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.868729452
Minute bundle kine kivabe Robi te,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
Robi sim a mint r sms kiny ki diy r chake kory ki diy,Prepaid Voice bundle Q,prepaid_SMS_bundle_q,0.923917671
Kivabe ami min dakhbo,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.517393949
কম টাকায় 30দিন মেয়াদি মিনিট অফার । কি আছে ?,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.378821122
BDT146রিচার্যে 210 মিনিট পেতে কি ডায়াল করব,Prepaid Voice bundle Q,None,0.657399509
"Priyo Robi, eto confuse bundle na thakai bhalo. 27 Taka recharge e 42 min naki 44 min?",Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.975979025
Sms j krlam ar jnno keno tk kata hy? Tahle apnara sebar nam kre manuser poketer tk kattecen avabe..Atai ki apnader seba? 200mnt ba 150mnt 30din kto tk,Prepaid Voice bundle Q,prepaid_SMS_bundle_q,0.511902016
Accah 30 din meyader minit kinbo kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.656527953
Minite kine koto diye,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.635004692
Minute kinbo code chai,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.696881871
Robi te minute kinbo kibave?,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.593147465
5 minit kenar upai,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
accah 3 taka ba 6 takay manit kinbo kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.679971206
accah lon nibo kivabe,Prepaid Voice bundle Q,loan_offer,1
Voice pack kine ki dial kore robi te,Prepaid Voice bundle Q,prepaid_SMS_bundle_q,0.44708343
Minute kinbo kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.744341296
Code of 5min 3tk for 4hrs,Prepaid Voice bundle Q,None,0.841880478
Kom dama minte bundle,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.41704982
6মিনিট কেনবো কী ভাবে,Prepaid Voice bundle Q,None,0.657399509
মাই রবি.আমাকে5টাকার8মিনিট.কুট টা দিতে হবে.?,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.378821122
Minute kinbo kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.744341296
minit ki babe anbo,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.884732908
ভাইয়া মিনিট কিভাবে কিনমু,Prepaid Voice bundle Q,None,0.657399509
Minit kmne kine,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.844533074
মিনিট কেনার কোড কি?,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.378821122
Minute kinbo kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.744341296
মিনিট কত কত ডায়াল করতে হয়??,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.378821122
"২ টাকায় কোনো মিনিট অফার অছে কি ""থাকলে কোড দিন""",Prepaid Voice bundle Q,None,0.657399509
5 মিনিট কেনার CODE,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.640104244
My Rnbi 5tk 8min.Offer,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.52920416
Hey robi.... Graminphone sim a to 6 takay 10 minitue dey Tahole robi keno 10 minitue kinle 8 taka ney?,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.573946985
Free minute bandle ki vabe neya jay,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.74231702
Free vonus minute lagbe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.545428666
Amar munit bundal lagba 1 mar ar jonna.,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
Robite kom takar mintr offer jante ki tipe korbo,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.588350952
Minute kinbo kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.744341296
Minute kinbo kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.744341296
Minute kinbo kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.744341296
104 TK. Recharge information me now please,Prepaid Voice bundle Q,None,0.441896765
From 01815483325 Ami Jodi 104 taka recharge koro so minutes other kisu pabo,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.639491426
Robita minit kinbo kibava,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.685117977
6 takay 10 minit kinar cod ta den,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
Robi minits bundle,Prepaid Voice bundle Q,prepaid_SMS_bundle_q,0.250440946
রবিতে মিনিট কিনব কিভাবে,Prepaid Voice bundle Q,None,0.657399509
Minute kinbo kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.744341296
MINIT TRANSPAR KIBABE KORE,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.817946991
how to bay minite,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
Minit pack kinte hobe ki vabe ami to parteci na mam....,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
SURA EKLAS PAT KORE KI VABE AKTU BANGLAI SMS KORE DIBE KOSTO KRE AMAR AKTU VALO HOTO,Prepaid Voice bundle Q,prepaid_SMS_bundle_q,0.306195115
Amr 6 takay 10 minit 45 din ata kenta ci,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
30 takay 50 minit 30 din mead ata kenta ci,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
30 takay 50 minit 30 din aita kenta ci,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.964519021
মিনিট প্যাক অফার চাই,Prepaid Voice bundle Q,None,0.657399509
Minit kinbo kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.737159244
5মিনিট 3টাকায় কিনবো কি দিয়ে,Prepaid Voice bundle Q,None,0.657399509
রবি মিনিট অফার জানতে চাই,Prepaid Voice bundle Q,None,0.657399509
Minit kinea ki deyi,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.884732908
Minut balnce bandil kiney ki dey,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.263333457
2 taka 3 taka r min,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.916375138
how to chake minit?,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.909590786
আমি 9 টাকা দিয়ে 14 মিনিট কিনতে চাই তো কোন নাম্বার টা ডায়াল করব????,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.378821122
1 Maser Minit Kivabe Kinte Hoy.,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
"Minit Offer Dail,",Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
Data pack na sudhu minute r ta den,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.718339991
robi minit daker digit r robir sms dekhar dight plz,Prepaid Voice bundle Q,prepaid_SMS_bundle_q,0.803388909
Minute kinbo kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.744341296
MINITE OFFAR KI DIA DAKBO?,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.515696885
Minute offar ki dia dakbo?,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.713319525
Aisob minute offara koto din mayad.,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.774008431
Minute kinbo kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.744341296
Amakey minit din,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.766074216
৩ টাকায় ৫ মিনিট অফার টি কেনার জন্য কি ডায়াল করব,Prepaid Voice bundle Q,None,0.657399509
Baton phone tik tok thekar upoy,Prepaid Voice bundle Q,None,0.657399509
Minit kenar upoy,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.608118345
ki vabe minit kina jay,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.736865376
Need only munite offer. Not combind with data,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.52920416
মিনিট চেক করে কিভাবে,Prepaid Voice bundle Q,None,0.657399509
আছা ভাইয়া এই সিমে এতো টাকা কাটেকেনো,Prepaid Voice bundle Q,None,0.657399509
আছা ভাইয়া নম্বর টা দেন কথাবলি,Prepaid Voice bundle Q,None,0.657399509
রবি মিনিট কিভাবে দেখে,Prepaid Voice bundle Q,None,0.657399509
Minit Kibabe Nebo,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.921956762
"mini Min hmm o,",Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.597294919
How will I get postpaid minute offer,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
I have no smart phone so how can I get NAGAD or bkash minute offer,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.804390893
Minute kinbo kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.744341296
Robi minute offer kine kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.871518988
"How to buy 30min ,30 day pack",Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.570547235
Minute kinbo kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.744341296
রবিতে মিনিট কিনে কিভাবে,Prepaid Voice bundle Q,None,0.657399509
রবিতে মিনিট চেক করে কিভাবে,Prepaid Voice bundle Q,None,0.657399509
রবি তে মিনিট কিনতে কত ডায়ল করতে হয়।,Prepaid Voice bundle Q,None,0.657399509
কল মিনিট কিনতে কত ডায়ল করতে হয়,Prepaid Voice bundle Q,None,0.657399509
Minit.Pecs.Patan,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
2takr minit dem,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.921956762
